nc6_threshold,nc10_threshold,uni6_threshold,uni10_threshold,accuracy
8,22,0.5,0.5,0.43153759820426485
8,22,0.5,0.55,0.43153759820426485
8,24,0.3,0.45,0.4102132435465769
8,24,0.35,0.4,0.4102132435465769
8,24,0.35,0.45,0.4102132435465769
8,24,0.35,0.5,0.4102132435465769
8,24,0.45,0.5,0.4102132435465769
8,24,0.45,0.55,0.4102132435465769
8,24,0.45,0.6,0.4102132435465769
8,24,0.35,0.6,0.4102132435465769
8,24,0.4,0.5,0.4102132435465769
8,24,0.45,0.4,0.4102132435465769
8,24,0.4,0.6,0.4102132435465769
8,24,0.4,0.55,0.4102132435465769
8,24,0.45,0.45,0.4102132435465769
8,24,0.3,0.5,0.4102132435465769
8,24,0.3,0.55,0.4102132435465769
8,24,0.3,0.4,0.4102132435465769
8,24,0.3,0.6,0.4102132435465769
8,24,0.4,0.4,0.4102132435465769
8,24,0.4,0.45,0.4102132435465769
8,24,0.35,0.55,0.4102132435465769
8,24,0.5,0.4,0.4090909090909091
8,24,0.5,0.45,0.4090909090909091
8,24,0.5,0.5,0.4090909090909091
8,24,0.5,0.55,0.4090909090909091
8,24,0.5,0.6,0.4090909090909091
9,16,0.45,0.6,0.3945005611672278
9,14,0.45,0.55,0.3945005611672278
9,14,0.5,0.5,0.3945005611672278
9,14,0.45,0.5,0.3945005611672278
9,16,0.5,0.4,0.3945005611672278
9,16,0.5,0.45,0.3945005611672278
9,16,0.5,0.5,0.3945005611672278
9,16,0.5,0.55,0.3945005611672278
9,16,0.5,0.6,0.3945005611672278
9,16,0.45,0.5,0.3945005611672278
9,16,0.45,0.55,0.3945005611672278
9,14,0.5,0.6,0.3945005611672278
9,14,0.5,0.55,0.3945005611672278
9,16,0.3,0.5,0.3945005611672278
9,16,0.3,0.55,0.3945005611672278
9,16,0.3,0.4,0.3945005611672278
9,16,0.3,0.45,0.3945005611672278
9,14,0.4,0.4,0.3945005611672278
9,14,0.4,0.45,0.3945005611672278
9,14,0.4,0.5,0.3945005611672278
9,14,0.4,0.55,0.3945005611672278
9,14,0.4,0.6,0.3945005611672278
9,14,0.45,0.4,0.3945005611672278
9,14,0.45,0.45,0.3945005611672278
9,16,0.45,0.45,0.3945005611672278
9,12,0.4,0.6,0.3945005611672278
9,12,0.4,0.55,0.3945005611672278
9,12,0.4,0.5,0.3945005611672278
9,14,0.3,0.55,0.3945005611672278
9,14,0.3,0.6,0.3945005611672278
9,14,0.35,0.4,0.3945005611672278
9,12,0.3,0.4,0.3945005611672278
9,12,0.3,0.45,0.3945005611672278
9,12,0.3,0.5,0.3945005611672278
9,12,0.3,0.55,0.3945005611672278
9,12,0.3,0.6,0.3945005611672278
9,12,0.35,0.4,0.3945005611672278
9,12,0.35,0.45,0.3945005611672278
9,12,0.35,0.5,0.3945005611672278
9,12,0.35,0.55,0.3945005611672278
9,12,0.35,0.6,0.3945005611672278
9,12,0.4,0.4,0.3945005611672278
9,12,0.4,0.45,0.3945005611672278
9,14,0.45,0.6,0.3945005611672278
9,14,0.5,0.4,0.3945005611672278
9,14,0.5,0.45,0.3945005611672278
9,12,0.45,0.4,0.3945005611672278
9,12,0.45,0.45,0.3945005611672278
9,12,0.45,0.5,0.3945005611672278
9,12,0.45,0.55,0.3945005611672278
9,12,0.45,0.6,0.3945005611672278
9,12,0.5,0.4,0.3945005611672278
9,12,0.5,0.45,0.3945005611672278
9,12,0.5,0.5,0.3945005611672278
9,12,0.5,0.55,0.3945005611672278
9,12,0.5,0.6,0.3945005611672278
9,14,0.3,0.4,0.3945005611672278
9,14,0.3,0.45,0.3945005611672278
9,14,0.3,0.5,0.3945005611672278
9,16,0.4,0.4,0.3945005611672278
9,16,0.4,0.45,0.3945005611672278
9,16,0.4,0.5,0.3945005611672278
9,14,0.35,0.45,0.3945005611672278
9,14,0.35,0.5,0.3945005611672278
9,14,0.35,0.55,0.3945005611672278
9,14,0.35,0.6,0.3945005611672278
9,16,0.3,0.6,0.3945005611672278
9,16,0.35,0.4,0.3945005611672278
